Voltage U1	Corriente IA
U1/V	IA/nA

0,02	0,10
0,04	0,09
0,07	0,10
0,09	0,09
0,12	0,09
0,14	0,09
0,17	0,09
0,19	0,09
0,21	0,09
0,24	0,06
0,26	0,06
0,29	0,04
0,31	0,05
0,34	0,06
0,36	0,05
0,39	0,05
0,41	0,06
0,43	0,06
0,46	0,06
0,48	0,06
0,51	0,05
0,53	0,04
0,56	0,04
0,58	0,04
0,61	0,04
0,63	0,03
0,65	0,04
0,68	0,04
0,70	0,04
0,73	0,04
0,75	0,04
0,78	0,04
0,80	0,04
0,83	0,04
0,85	0,04
0,87	0,04
0,90	0,04
0,92	0,05
0,95	0,05
0,97	0,05
1,00	0,04
1,02	0,04
1,05	0,05
1,07	0,05
1,09	0,03
1,12	0,05
1,14	0,05
1,17	0,06
1,19	0,06
1,22	0,06
1,24	0,06
1,26	0,06
1,29	0,04
1,31	0,04
1,34	0,04
1,36	0,04
1,39	0,02
1,41	0,03
1,44	0,03
1,46	0,05
1,48	0,05
1,51	0,05
1,53	0,06
1,56	0,05
1,58	0,05
1,61	0,05
1,63	0,05
1,66	0,05
1,68	0,05
1,70	0,05
1,73	0,06
1,75	0,06
1,78	0,06
1,80	0,07
1,83	0,07
1,85	0,05
1,88	0,05
1,90	0,04
1,92	0,06
1,95	0,06
1,97	0,05
2,00	0,05
2,02	0,05
2,05	0,05
2,07	0,05
2,10	0,04
2,12	0,04
2,14	0,04
2,17	0,04
2,19	0,05
2,22	0,06
2,24	0,06
2,27	0,06
2,29	0,06
2,31	0,06
2,34	0,06
2,36	0,05
2,39	0,05
2,41	0,05
2,44	0,05
2,46	0,05
2,49	0,05
2,51	0,05
2,53	0,07
2,56	0,07
2,58	0,07
2,61	0,07
2,63	0,07
2,66	0,07
2,68	0,06
2,71	0,05
2,73	0,07
2,75	0,07
2,78	0,08
2,80	0,09
2,83	0,08
2,85	0,10
2,88	0,10
2,90	0,10
2,93	0,10
2,95	0,09
2,97	0,09
3,00	0,09
3,02	0,10
3,05	0,10
3,07	0,10
3,10	0,10
3,12	0,10
3,15	0,10
3,17	0,10
3,19	0,10
3,22	0,10
3,24	0,10
3,27	0,10
3,29	0,09
3,32	0,11
3,34	0,11
3,36	0,11
3,39	0,11
3,41	0,10
3,44	0,10
3,46	0,09
3,49	0,07
3,51	0,07
3,54	0,07
3,56	0,07
3,58	0,08
3,61	0,08
3,63	0,08
3,66	0,12
3,68	0,12
3,71	0,11
3,73	0,11
3,76	0,09
3,78	0,10
3,80	0,08
3,83	0,09
3,85	0,09
3,88	0,09
3,90	0,09
3,93	0,11
3,95	0,12
3,98	0,12
4,00	0,12
4,02	0,12
4,05	0,13
4,07	0,13
4,10	0,11
4,12	0,13
4,15	0,14
4,17	0,14
4,20	0,14
4,22	0,12
4,24	0,12
4,27	0,11
4,29	0,09
4,32	0,09
4,34	0,08
4,37	0,08
4,39	0,08
4,42	0,09
4,44	0,10
4,46	0,12
4,49	0,12
4,51	0,13
4,54	0,13
4,56	0,11
4,59	0,11
4,61	0,10
4,63	0,11
4,66	0,11
4,68	0,11
4,71	0,11
4,73	0,12
4,76	0,14
4,78	0,14
4,81	0,14
4,83	0,13
4,85	0,13
4,88	0,13
4,90	0,12
4,93	0,10
4,95	0,10
4,98	0,09
5,00	0,09
5,03	0,09
5,05	0,10
5,07	0,10
5,10	0,10
5,12	0,10
5,15	0,10
5,17	0,10
5,20	0,09
5,22	0,10
5,25	0,11
5,27	0,11
5,29	0,11
5,32	0,12
5,34	0,12
5,37	0,12
5,39	0,11
5,42	0,11
5,44	0,11
5,47	0,11
5,49	0,10
5,51	0,11
5,54	0,12
5,56	0,13
5,59	0,14
5,61	0,13
5,64	0,13
5,66	0,12
5,68	0,10
5,71	0,09
5,73	0,09
5,76	0,08
5,78	0,09
5,81	0,10
5,83	0,12
5,86	0,15
5,88	0,15
5,90	0,15
5,93	0,15
5,95	0,14
5,98	0,14
6,00	0,12
6,03	0,12
6,05	0,12
6,08	0,12
6,10	0,13
6,12	0,14
6,15	0,15
6,17	0,14
6,20	0,14
6,22	0,13
6,25	0,14
6,27	0,13
6,30	0,12
6,32	0,14
6,34	0,13
6,37	0,14
6,39	0,14
6,42	0,12
6,44	0,13
6,47	0,13
6,49	0,11
6,52	0,12
6,54	0,12
6,56	0,12
6,59	0,14
6,61	0,15
6,64	0,15
6,66	0,16
6,69	0,15
6,71	0,15
6,73	0,16
6,76	0,14
6,78	0,14
6,81	0,13
6,83	0,13
6,86	0,14
6,88	0,14
6,91	0,15
6,93	0,15
6,95	0,16
6,98	0,17
